"filename", "language", "CSS", "JavaScript", "Markdown", "HTML", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\komar\Desktop\weerit\backend\.env", "Properties", 0, 0, 0, 0, 0, -8, 0, 0, -8
"c:\Users\komar\Desktop\weerit\backend\cloudinary.js", "JavaScript", 0, -8, 0, 0, 0, 0, -1, -2, -11
"c:\Users\komar\Desktop\weerit\backend\controllers\listingsControlles.js", "JavaScript", 0, -67, 0, 0, 0, 0, 0, -12, -79
"c:\Users\komar\Desktop\weerit\backend\controllers\usersController.js", "JavaScript", 0, -17, 0, 0, 0, 0, 0, -4, -21
"c:\Users\komar\Desktop\weerit\backend\index.js", "JavaScript", 0, -40, 0, 0, 0, 0, -1, -6, -47
"c:\Users\komar\Desktop\weerit\backend\models\listingModel.js", "JavaScript", 0, -61, 0, 0, 0, 0, 0, -4, -65
"c:\Users\komar\Desktop\weerit\backend\models\userModel.js", "JavaScript", 0, -17, 0, 0, 0, 0, 0, -4, -21
"c:\Users\komar\Desktop\weerit\backend\package-lock.json", "JSON", 0, 0, 0, 0, -4322, 0, 0, -1, -4323
"c:\Users\komar\Desktop\weerit\backend\package.json", "JSON", 0, 0, 0, 0, -27, 0, 0, -1, -28
"c:\Users\komar\Desktop\weerit\backend\passport.js", "JavaScript", 0, -36, 0, 0, 0, 0, 0, -5, -41
"c:\Users\komar\Desktop\weerit\backend\routes\auth.js", "JavaScript", 0, -34, 0, 0, 0, 0, 0, -7, -41
"c:\Users\komar\Desktop\weerit\backend\routes\listingRoutes.js", "JavaScript", 0, -8, 0, 0, 0, 0, 0, -3, -11
"c:\Users\komar\Desktop\weerit\backend\routes\userRoutes.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, -4, -9
"c:\Users\komar\Desktop\weerit\frontend\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\komar\Desktop\weerit\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 30015, 0, 0, 1, 30016
"c:\Users\komar\Desktop\weerit\frontend\package.json", "JSON", 0, 0, 0, 0, 48, 0, 0, 1, 49
"c:\Users\komar\Desktop\weerit\frontend\public\build\asset-manifest.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 0, 20
"c:\Users\komar\Desktop\weerit\frontend\public\build\index.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\komar\Desktop\weerit\frontend\public\build\static\css\main.2b2861f4.css", "CSS", 1, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\komar\Desktop\weerit\frontend\public\build\static\js\main.c9dadade.js", "JavaScript", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\Users\komar\Desktop\weerit\frontend\public\index.html", "HTML", 0, 0, 0, 18, 0, 0, 23, 1, 42
"c:\Users\komar\Desktop\weerit\frontend\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\komar\Desktop\weerit\frontend\src\App.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 10, 84
"c:\Users\komar\Desktop\weerit\frontend\src\components\css\catalog.css", "CSS", 33, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\komar\Desktop\weerit\frontend\src\components\css\dropdownli.css", "CSS", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\komar\Desktop\weerit\frontend\src\components\css\filter.css", "CSS", 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\komar\Desktop\weerit\frontend\src\components\css\filteractive.css", "CSS", 25, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\komar\Desktop\weerit\frontend\src\components\css\filterbutton.css", "CSS", 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\komar\Desktop\weerit\frontend\src\components\css\filterel.css", "CSS", 72, 0, 0, 0, 0, 0, 0, 9, 81
"c:\Users\komar\Desktop\weerit\frontend\src\components\css\listing.css", "CSS", 59, 0, 0, 0, 0, 0, 0, 9, 68
"c:\Users\komar\Desktop\weerit\frontend\src\components\css\loginwidget.css", "CSS", 63, 0, 0, 0, 0, 0, 0, 9, 72
"c:\Users\komar\Desktop\weerit\frontend\src\components\css\navbar.css", "CSS", 314, 0, 0, 0, 0, 0, 0, 47, 361
